內部代號,印刷編號,說明
舟左-52,1-293,已併入「小葉黃鱔藤」
舟左-53,1-293,
舟左-54,2-226,
舟左-55,1-282,已併入「稜軸土人參」
舟左-56,1-177,
舟左-57,1-281,
舟左-58,1-253,
舟左-59,1-265,
舟左-60,1-93,
舟左-61,1-116,
舟左-62,,
舟左-63,1-234,
舟左-64,1-141,
舟左-65,,
舟左-66,1-290,
舟左-67,1-108,
舟左-68,1-263,
舟左-69,1-264,
舟左-70,2-221,
舟左-72,,
舟左-73,1-258,
舟左-74,2-205,
舟左-75,1-277,
舟左-76,,
舟左-77,1-282,
舟左-78,1-285,
舟左-79,1-287,
舟左-80,1-291,
舟左-81,2-206,
舟左-82,1-284,
舟左-83,2-216,
舟後-01,1-7,
舟後-02,1-46、2-97,已併入「兔兒菜」
舟後-03,1-2,
舟後-04,2-119,已併入「可可樹」
舟後-05,2-121,
舟後-06,1-33,
舟後-07,1-325、2-18,
舟後-08,1-1,
舟後-09,2-123,
舟後-10,2-11、4-356,
舟後-100,,
舟後-11,1-18,
舟後-12,1-5,
舟後-13,1-3,
舟後-14,1-41、2-152,
舟後-15,4-63,
舟後-16,1-16,
舟後-17,1-132,
舟後-18,1-43,
舟後-19,1-24,
舟後-20,1-249,
舟後-21,1-4,
舟後-22,2-122,
舟後-23,2-120,
舟後-24,1-27,
舟後-25,3-259,
舟後-26,2-34、4-2,
舟後-27,4-104,
舟後-28,2-9,
舟後-29,1-248,
舟後-30,1-10,
舟後-31,1-10,已併入「日本莢蒾」
舟後-32,2-124,
舟後-33,1-142,
舟後-34,1-139,
舟後-35,2-138,
舟後-36,2-139,
舟後-37,2-331,
舟後-38,,
舟後-39,1-42,
舟後-40,2-116,
舟後-41,1-207,
舟後-42,1-6,
舟後-43,1-8,
舟後-44,1-35,
舟後-45,1-12,
舟後-46,1-29,
舟後-47,2-134,
舟後-48,1-13,
舟後-49,2-128,
舟後-50,1-1,已併入「帝皇烏藍」
舟後-51,1-20,
舟後-52,1-17,
舟後-53,1-14,
舟後-54,2-15,
舟後-55,2-118,
舟後-56,2-125,
舟後-57,1-28,
舟後-58,2-13,
舟後-59,1-22,
舟後-60,2-130,
舟後-61,2-135,
舟後-62,2-12,
舟後-63,,
舟後-64,1-34,
舟後-65,2-133,
舟後-66,1-38,
舟後-67,1-213,
舟後-68,1-25,
舟後-69,2-129,
舟後-70,1-229,
舟後-71,1-123,
舟後-72,2-117,
舟後-73,2-127,
舟後-74,1-11,
舟後-75,2-132,
舟後-76,1-44,
舟後-77,1-31,
舟後-78,1-15,
舟後-79,2-14,
舟後-80,1-26,
舟後-81,3-369,
舟後-82,2-10,
舟後-83,,
舟後-84,2-119,
舟後-85,1-37,
舟後-86,1-40,
舟後-87,1-23,
舟後-88,2-6,
舟後-89,1-9、1-19,已併入「葛瑪蘭芭蕉」
舟後-90,2-126,
舟後-91,1-36,
舟後-92,2-131,
舟後-93,,
舟後-94,1-21,
舟後-95,2-140,
舟後-96,2-7,
舟後-97,2-136、4-70,
舟後-98,2-8,
舟後-99,1-9、1-19,
茜-01,3-384、4-120,
茜-02,3-252,
茜-03,4-133、4-230,
茜-04,4-138,
茜-05,3-280,
茜-06,2-339、4-129,
茜-07,4-30,
茜-08,4-137,
茜-09,4-135、4-187,
茜-10,3-75、4-74,
茜-11,3-337,
茜-12,3-281,
茜-13,3-335,
茜-14,3-188,
茜-15,4-28,
茜-16,3-253,
茜-17,4-128,
茜-18,3-291,
茜-19,4-68,
茜-20,4-8,
茜-21,3-277,
茜-22,4-134,
茜-23,4-139,
茜-24,4-33,
茜-25,4-165,
茜-26,3-190,
茜-27,3-278,
茜-28,4-66,
茜-29,3-334,
茜-30,4-75,
茜-31,3-191,
茜-32,3-187,
茜-33,4-7,
茜-34,3-189,
茜-35,3-255,
茜-36,1-298、4-34,
茜-37,3-333,
茜-38,4-71,
茜-39,3-336,
茜-40,4-31,
茜-41,4-69,
茜-42,2-136、4-70,已併入「鵝鑾鼻蔓榕」
茜-43,4-72,
茜-44,4-67,
茜-45,4-131,
茜-46,4-136,
茜-47,3-254,
荷-01,,
荷-02,3-104,
荷-03,3-300、3-304、3-319、4-227,
荷-04,3-231、4-93,
荷-05,3-130,
荷-06,3-228,
荷-07,3-144、3-353,
荷-08,3-351,
荷-09,3-129,
荷-10,3-147,
荷-101,3-355,
荷-102,3-82,
荷-103,3-362,
荷-104,3-85,已併入「披針葉饅頭果」
荷-105,3-271,
荷-106,3-139、3-361,
荷-107,3-229,
荷-108,3-150,
荷-109,3-100,
荷-11,,
荷-110,,
荷-111,3-315,
荷-112,,
荷-113,3-293,
荷-114,3-105,
荷-115,3-360,
荷-116,,
荷-117,3-299,
荷-118,3-317,
荷-119,,
荷-12,,
荷-120,3-303,
荷-121,3-312,
荷-122,3-316,
荷-13,3-149,
荷-14,3-240,
荷-15,,
荷-16,3-260,
荷-17,3-230,
荷-18,3-262,
荷-19,3-274,
荷-20,3-273,
荷-21,3-318,
荷-22,,
荷-23,3-375,
荷-24,3-95、4-317,
荷-25,3-265,
荷-26,3-320,
荷-27,3-236,
荷-28,,
荷-29,3-269,
荷-30,3-143、4-121,
荷-31,,
荷-32,3-363,
荷-33,3-211,
荷-34,3-55,
荷-35,3-153,
荷-36,3-264,
荷-37,3-313,
荷-38,3-314、4-102,
荷-39,3-131,
荷-40,1-358、3-68、3-194、4-334,
荷-41,3-151,
